Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Baseline
140,-86.94381618,40.43838709,174.656,,-86.94381618,40.43838709,174.656,,,,,2.134,FIX,2021-06-01 11:59:39.1 UTC-04:00,2021-06-01 11:59:39.1 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2633.138
141,-86.94379601,40.43838029,174.610,,-86.94379601,40.43838029,174.610,,,,,2.134,FIX,2021-06-01 11:59:51.9 UTC-04:00,2021-06-01 11:59:51.9 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2632.789
142,-86.94377625,40.43837037,174.576,,-86.94377625,40.43837037,174.576,,,,,2.134,FIX,2021-06-01 12:00:03.2 UTC-04:00,2021-06-01 12:00:03.2 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2632.747
143,-86.94375987,40.43835843,174.558,,-86.94375987,40.43835843,174.558,,,,,2.134,FIX,2021-06-01 12:00:15.4 UTC-04:00,2021-06-01 12:00:15.4 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2633.053
144,-86.94374668,40.43834630,174.548,,-86.94374668,40.43834630,174.548,,,,,2.134,FIX,2021-06-01 12:00:25.4 UTC-04:00,2021-06-01 12:00:25.4 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2633.531
145,-86.94373634,40.43833346,174.501,,-86.94373634,40.43833346,174.501,,,,,2.134,FIX,2021-06-01 12:00:40.5 UTC-04:00,2021-06-01 12:00:40.5 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2634.212
146,-86.94372619,40.43831747,174.470,,-86.94372619,40.43831747,174.470,,,,,2.134,FIX,2021-06-01 12:00:53.1 UTC-04:00,2021-06-01 12:00:53.1 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2635.192
147,-86.94372039,40.43830429,174.451,,-86.94372039,40.43830429,174.451,,,,,2.134,FIX,2021-06-01 12:01:03.4 UTC-04:00,2021-06-01 12:01:03.4 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2636.122
148,-86.94371729,40.43828938,174.416,,-86.94371729,40.43828938,174.416,,,,,2.134,FIX,2021-06-01 12:01:19.4 UTC-04:00,2021-06-01 12:01:19.4 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2637.341
149,-86.94371714,40.43827291,174.434,,-86.94371714,40.43827291,174.434,,,,,2.134,FIX,2021-06-01 12:01:40.7 UTC-04:00,2021-06-01 12:01:40.7 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2638.846
150,-86.94371690,40.43819096,174.246,,-86.94371690,40.43819096,174.246,,,,,2.134,FIX,2021-06-01 12:02:06.7 UTC-04:00,2021-06-01 12:02:06.7 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2646.360
151,-86.94371608,40.43812902,174.157,,-86.94371608,40.43812902,174.157,,,,,2.134,FIX,2021-06-01 12:02:27.3 UTC-04:00,2021-06-01 12:02:27.3 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2652.015
152,-86.94371480,40.43805442,174.049,,-86.94371480,40.43805442,174.049,,,,,2.134,FIX,2021-06-01 12:02:49.5 UTC-04:00,2021-06-01 12:02:49.5 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2658.820
